Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Offense Four Factors,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Defense Four Factors,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
7,2017,Cleveland Cavaliers,Yes,No,29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,,0.547,12.6,21.9,0.206,,0.516,11.4,75.8,0.174,,Quicken Loans Arena,"843,042","20,562"
8,2017,Boston Celtics,Yes,No,25.9,53,29,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,,0.525,12.2,21.2,0.22,,0.503,12.6,75.3,0.223,,TD Garden,"760,690","18,553"
9,2017,Washington Wizards,Yes,No,26,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,,0.528,12.8,24.1,0.199,,0.524,13.8,75.5,0.213,,Verizon Center,"697,107","17,003"
10,2017,Miami Heat,No,No,26.5,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,,0.512,12.4,24.2,0.177,,0.496,12.6,76.4,0.22,,AmericanAirlines Arena,"805,400","19,644"
11,2017,Oklahoma City Thunder,Yes,No,24.7,47,35,43,39,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,,0.5,13.2,27.9,0.22,,0.511,12.5,79,0.218,,Chesapeake Energy Arena,"746,323","18,203"
12,2017,Memphis Grizzlies,Yes,No,29.5,43,39,42,40,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,,0.491,12.1,24.8,0.219,,0.506,13.6,77.5,0.256,,FedEx Forum,"677,314","16,520"
13,2017,Denver Nuggets,No,No,25.2,40,42,42,40,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.329,0.568,,0.53,13.2,27.3,0.214,,0.532,10.9,78.7,0.194,,Pepsi Center,"605,585","14,672"
14,2017,Chicago Bulls,Yes,No,26.9,41,41,42,40,0.43,-0.39,0.03,107.4,107,0.4,95.3,0.259,0.256,0.53,,0.487,12.3,27,0.206,,0.507,12.4,76.8,0.169,,United Center,"888,882","21,680"
15,2017,Charlotte Hornets,No,No,26.5,36,46,42,40,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,,0.501,10.7,19.9,0.227,,0.523,12.1,79.6,0.164,,Spectrum Center,"710,643","17,333"
16,2017,Indiana Pacers,Yes,No,27,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,,0.516,12.8,21.2,0.212,,0.512,13.6,75.5,0.225,,Bankers Life Fieldhouse,"684,578","16,697"
17,2017,Milwaukee Bucks,Yes,No,25.6,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,,0.527,13.2,21.5,0.21,,0.518,13.6,75.4,0.215,,BMO Harris Bradley Center,"648,952","15,828"
18,2017,Portland Trail Blazers,Yes,No,24.8,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,,0.52,12.5,23,0.214,,0.508,11.6,76.8,0.241,,Moda Center,"792,029","19,318"
19,2017,Atlanta Hawks,Yes,No,27.9,43,39,39,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,,0.504,14.2,23.6,0.215,,0.507,13.8,76.1,0.179,,Philips Arena,"654,306","15,959"
20,2017,Detroit Pistons,No,No,25.4,37,45,38,44,-1.12,-0.17,-1.29,106,107.1,-1.1,95,0.218,0.263,0.521,,0.492,10.9,24.1,0.157,,0.516,12.1,81.2,0.197,,The Palace of Auburn Hills,"655,141","15,979"
21,2017,Minnesota Timberwolves,No,No,24,31,51,38,44,-1.11,0.47,-0.64,110.8,112,-1.2,94.6,0.287,0.249,0.555,,0.511,12.9,27.2,0.229,,0.535,13.2,75.9,0.212,,Target Center,"607,203","14,810"
22,2017,New Orleans Pelicans,No,No,25.7,34,48,35,47,-2.1,0.41,-1.69,105.2,107.4,-2.2,98,0.256,0.308,0.539,,0.504,11.7,18.5,0.192,,0.509,12.4,76.8,0.177,,Smoothie King Center,"663,099","16,173"
23,2017,Dallas Mavericks,No,No,27.6,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,,0.505,11.6,18.1,0.18,,0.529,14.4,77.6,0.218,,American Airlines Center,"811,366","19,789"
24,2017,New York Knicks,No,No,27.3,31,51,31,51,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96,0.239,0.279,0.534,,0.496,12.4,26.6,0.188,,0.511,11.7,74.1,0.214,,Madison Square Garden (IV),"810,741","19,774"
25,2017,Sacramento Kings,No,No,27.9,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,-4,94.9,0.284,0.291,0.556,,0.516,13.7,21,0.22,,0.528,12.9,76.3,0.227,,Golden 1 Center,"721,928","17,608"
26,2017,Phoenix Suns,No,No,25,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,,0.493,13.4,26,0.231,,0.525,13.1,76.4,0.264,,Talking Stick Resort Arena,"708,639","17,134"
27,2017,Philadelphia 76ers,No,No,24.6,28,54,26,56,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,,0.501,14.9,22.4,0.199,,0.512,13.5,75.3,0.234,,Wells Fargo Center,"710,557","17,331"
28,2017,Brooklyn Nets,No,No,26,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,,0.507,14.7,19.6,0.228,,0.513,11.6,76.1,0.212,,Barclays Center,"632,608","15,429"
29,2017,Orlando Magic,No,No,25.3,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.246,0.3,0.524,,0.489,12.1,21.6,0.184,,0.523,11.9,77.4,0.201,,Amway Center,"727,875","17,753"
30,2017,Los Angeles Lakers,No,No,25.1,26,56,24,58,-6.88,0.58,-6.29,106,113,-7,98.5,0.259,0.295,0.537,,0.501,13.5,25,0.195,,0.542,13,75.8,0.213,,STAPLES Center,"776,917","18,949"
,2017,League Average,,,26.6,,,41,41,0,0,0,108.8,108.8,,96.4,0.271,0.316,0.552,,0.514,12.7,23.3,0.209,,0.514,12.7,76.7,0.209,,,"733,247","17,880"
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,2018,Houston Rockets,Yes,No,29.8,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,,0.551,12.7,21.3,0.233,,0.521,13.4,79.9,0.171,,Toyota Center,"732,722","17,871"
2,2018,Toronto Raptors,Yes,No,25.8,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,,0.539,12.1,23,0.198,,0.501,13,77.7,0.212,,Air Canada Centre,"813,431","19,840"
3,2018,Golden State Warriors,Yes,Yes,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,6,99.6,0.239,0.339,0.603,,0.569,14.1,21,0.195,,0.504,12.6,76.3,0.186,,Oracle Arena,"803,436","19,596"
4,2018,Utah Jazz,Yes,No,26.7,48,34,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,,0.527,13.7,21.5,0.202,,0.506,14,79.8,0.19,,Vivint Smart Home Arena,"734,806","17,922"
5,2018,Philadelphia 76ers,Yes,No,25.8,52,30,53,29,4.5,-0.2,4.3,109.5,105,4.5,99.8,0.263,0.344,0.568,,0.535,14.6,25.3,0.198,,0.492,12.6,78.6,0.218,,Wells Fargo Center,"833,503","20,361"
6,2018,Boston Celtics,Yes,No,24.7,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96,0.243,0.357,0.552,,0.518,13,21.5,0.188,,0.495,13,78.4,0.191,,TD Garden,"763,584","18,624"
7,2018,Oklahoma City Thunder,Yes,No,27.3,48,34,50,32,3.41,0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,,0.514,12.4,27.7,0.197,,0.525,14.7,77.4,0.193,,Chesapeake Energy Arena,"746,322","18,203"
8,2018,San Antonio Spurs,Yes,No,29.3,47,35,49,33,2.89,0,2.89,107.9,104.8,3.1,95,0.245,0.282,0.543,,0.507,12.2,23.7,0.189,,0.507,13.2,78.6,0.17,,AT&T Center,"754,562","18,404"
9,2018,Portland Trail Blazers,Yes,No,25.6,49,33,48,34,2.6,0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,,0.511,12.3,23.3,0.192,,0.503,11.7,79.1,0.193,,Moda Center,"795,750","19,409"
10,2018,Minnesota Timberwolves*,Yes,No,27.1,47,35,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96,0.28,0.261,0.566,,0.523,11.4,24.4,0.225,,0.539,13.9,76.4,0.189,,Target Center,"699,308","17,056"
11,2018,Denver Nuggets,No,No,25.1,46,36,45,37,1.48,0.09,1.57,112.5,111,1.5,96.8,0.258,0.357,0.57,,0.536,13.4,25.7,0.198,,0.539,12.6,77.5,0.173,,Pepsi Center,"702,796","17,141"
12,2018,Indiana Pacers,Yes,No,26.2,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,1.4,96,0.222,0.284,0.557,,0.525,12.3,22.7,0.173,,0.527,14.2,76.2,0.174,,Bankers Life Fieldhouse,"658,119","16,052"
13,2018,New Orleans Pelicans,Yes,No,27.6,48,34,44,38,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,,0.541,13.3,20,0.183,,0.513,12.5,76.7,0.175,,Smoothie King Center,"673,920","16,437"
14,2018,Cleveland Cavaliers,Yes,No,30.6,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,1,98,0.275,0.379,0.584,,0.547,12.6,20.1,0.214,,0.54,12.2,77.3,0.166,,Quicken Loans Arena,"843,042","20,562"
15,2018,Washington Wizards,Yes,No,26.9,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,,0.525,13.3,23.5,0.196,,0.522,13.6,77.1,0.212,,Capital One Arena,"739,302","18,032"
16,2018,Miami Heat,Yes,No,26.5,44,38,42,40,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,,0.52,13.3,21.5,0.173,,0.507,13.1,79,0.215,,AmericanAirlines Arena,"804,850","19,630"
17,2018,Charlotte Hornets,No,No,26.6,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,,0.508,11.4,22.2,0.233,,0.532,12.4,80.7,0.165,,Spectrum Center,"671,404","16,376"
18,2018,Los Angeles Clippers,No,No,27,42,40,41,41,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,,0.527,13.2,23.5,0.222,,0.52,12.6,76.1,0.203,,STAPLES Center,"697,812","17,020"
19,2018,Detroit Pistons,No,No,25.9,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,,0.512,12.3,22.7,0.169,,0.524,13.7,78.5,0.172,,Little Caesars Arena,"713,945","17,413"
20,2018,Milwaukee Bucks,Yes,No,25.9,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,,0.531,12.9,20.4,0.22,,0.528,14.2,75.9,0.22,,BMO Harris Bradley Center,"685,303","16,856"
21,2018,Los Angeles Lakers,No,No,23.7,35,47,37,45,-1.55,0.11,-1.44,106.5,108,-1.5,100.3,0.264,0.329,0.548,,0.517,13.8,23.6,0.188,,0.514,12.5,77.7,0.19,,STAPLES Center,"776,327","18,935"
22,2018,Dallas Mavericks,No,No,27.7,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,,0.513,11.6,18,0.166,,0.532,12.9,78.9,0.193,,American Airlines Center,"811,453","19,792"
23,2018,New York Knicks,No,No,26.3,29,53,32,50,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,,0.51,13.3,24.1,0.17,,0.522,12.2,76.7,0.208,,Madison Square Garden (IV),"792,608","19,332"
24,2018,Brooklyn Nets,No,No,25.1,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,,0.514,13.6,21,0.201,,0.517,11,77,0.201,,Barclays Center,"640,010","15,376"
25,2018,Orlando Magic,No,No,25.6,25,57,28,54,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,,0.512,13.3,20,0.18,,0.525,12.8,75.6,0.187,,Amway Center,"734,531","17,915"
26,2018,Atlanta Hawks,No,No,25.4,24,58,27,55,-5.45,0.15,-5.3,105,110.6,-5.6,98.3,0.236,0.363,0.547,,0.512,14.1,21.1,0.185,,0.536,13.6,76.2,0.183,,Philips Arena,"590,769","14,409"
27,2018,Memphis Grizzlies,No,No,26,22,60,25,57,-6.21,0.39,-5.81,104.5,111,-6.5,94.9,0.255,0.317,0.539,,0.5,14,22.4,0.201,,0.529,13.8,76.5,0.256,,FedEx Forum,"653,863","15,948"
28,2018,Chicago Bulls,No,No,24.4,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,,0.497,12.6,20.6,0.164,,0.542,12.4,80.6,0.184,,United Center,"851,824","20,776"
29,2018,Sacramento Kings,No,No,26.4,27,55,23,59,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,,0.502,12.8,21.5,0.143,,0.542,13.5,77.6,0.199,,Golden 1 Center,"714,680","17,431"
30,2018,Phoenix Suns,No,No,23.7,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,,0.495,13.9,22.5,0.203,,0.533,11.9,76.5,0.212,,Talking Stick Resort Arena,"690,576","16,843"
,2018,League Average,,,26.6,,,41,41,0,0,0,108.6,108.6,,97.3,0.252,0.337,0.556,,0.521,13,22.3,0.193,,0.521,13,77.7,0.193,,,"737,485","17,989"
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,2019,Milwaukee Bucks,Yes,No,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,,0.55,12,20.8,0.197,,0.503,11.5,80.3,0.162,,Fiserv Forum,"721,692","17,602"
2,2019,Golden State Warriors,Yes,No,28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,,0.565,12.6,22.5,0.182,,0.508,11.7,77.1,0.205,,Oracle Arena,"803,436","19,596"
3,2019,Toronto Raptors,Yes,Yes,27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,,0.543,12.4,21.9,0.198,,0.509,13.1,77.1,0.19,,Scotiabank Arena,"812,822","19,825"
4,2019,Utah Jazz,Yes,No,27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,,0.538,13.4,22.9,0.217,,0.507,12.4,80.3,0.189,,Vivint Smart Home Arena,"750,546","18,306"
5,2019,Houston Rockets,Yes,No,29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,,0.542,12,22.8,0.221,,0.525,13.4,74.4,0.21,,Toyota Center,"740,392","18,058"
6,2019,Boston Celtics,Yes,No,25.7,49,33,52,30,4.44,-0.54,3.9,112.7,108.3,4.4,99.2,0.215,0.381,0.567,,0.534,11.1,21.6,0.173,,0.514,13,77,0.198,,TD Garden,"763,584","18,624"
7,2019,Portland Trail Blazers,Yes,No,26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,,0.528,12.1,26.6,0.21,,0.516,11,77.9,0.195,,Moda Center,"799,345","19,496"
8,2019,Denver Nuggets,Yes,No,24.9,54,28,51,31,3.95,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,,0.527,11.9,26.6,0.175,,0.521,12.3,78,0.194,,Pepsi Center,"756,457","18,450"
9,2019,Indiana Pacers,Yes,No,27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,,0.53,12.4,21.9,0.182,,0.516,14.1,76.2,0.184,,Bankers Life Fieldhouse,"689,310","16,812"
10,2019,Oklahoma City Thunder,Yes,No,25.7,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,,0.514,11.7,26,0.19,,0.523,14.4,78.2,0.206,,Chesapeake Energy Arena,"746,323","18,203"
11,2019,Philadelphia 76ers,Yes,No,26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,,0.532,12.9,24.5,0.241,,0.512,11.1,78.6,0.206,,Wells Fargo Center,"838,342","20,447"
12,2019,San Antonio Spurs,Yes,No,28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,,0.534,11,21,0.194,,0.528,11,79.4,0.17,,AT&T Center,"750,616","18,308"
13,2019,Los Angeles Clippers,Yes,No,27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,,0.529,12.7,22,0.258,,0.514,11.4,76,0.224,,STAPLES Center,"710,327","17,325"
14,2019,Orlando Magic,Yes,No,25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,,0.518,11.9,22,0.168,,0.515,11.8,79.7,0.186,,Amway Center,"720,024","17,431"
15,2019,Brooklyn Nets,Yes,No,25.4,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,,0.52,13,23.8,0.211,,0.512,11.6,76.4,0.19,,Barclays Center,"612,597","14,941"
16,2019,Detroit Pistons,Yes,No,26.9,41,41,40,42,-0.24,-0.31,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,,0.509,12.3,24.8,0.195,,0.526,12.8,78.7,0.211,,Little Caesars Arena,"675,963","16,487"
17,2019,Miami Heat,No,No,27,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,,0.515,13.1,24.8,0.172,,0.51,12.7,77.6,0.201,,AmericanAirlines Arena,"805,264","19,641"
18,2019,Sacramento Kings,No,No,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,,0.524,11.5,23.1,0.177,,0.533,13.6,75.5,0.207,,Golden 1 Center,"700,975","17,097"
19,2019,Charlotte Hornets,No,No,26.6,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,,0.514,10.9,21.7,0.205,,0.538,12.1,77.1,0.179,,Spectrum Center,"676,570","16,502"
20,2019,New Orleans Pelicans,No,No,25.7,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,,0.529,12.6,24.1,0.193,,0.532,11.6,76.8,0.193,,Smoothie King Center,"656,183","16,004"
21,2019,Dallas Mavericks,No,No,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99,0.291,0.422,0.555,,0.519,12.7,22.7,0.216,,0.522,11.6,77.5,0.191,,American Airlines Center,"820,569","20,014"
22,2019,Minnesota Timberwolves,No,No,26.2,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,,0.511,11.4,24.6,0.21,,0.538,12.9,74.9,0.19,,Target Center,"627,543","15,306"
23,2019,Los Angeles Lakers,No,No,26.2,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,,0.527,13.4,22.2,0.18,,0.516,12.2,76.4,0.192,,STAPLES Center,"778,877","18,997"
24,2019,Memphis Grizzlies,No,No,27.7,33,49,34,48,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,,0.508,12.9,20,0.21,,0.521,13.9,77.6,0.232,,FedEx Forum,"638,332","15,569"
25,2019,Washington Wizards,No,No,26.5,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,,0.531,12.3,21.3,0.204,,0.546,13.5,74.1,0.199,,Capital One Arena,"716,996","17,448"
26,2019,Atlanta Hawks,No,No,25.1,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,,0.522,14.3,24.7,0.192,,0.541,12.8,76.4,0.237,,State Farm Arena,"628,440","15,328"
27,2019,Chicago Bulls,No,No,24,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99,0.235,0.295,0.541,,0.505,12.7,19.4,0.184,,0.541,11.9,77.3,0.188,,United Center,"823,475","20,085"
28,2019,New York Knicks,No,No,23.4,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,,0.49,12.4,22.1,0.205,,0.533,11.7,76.1,0.203,,Madison Square Garden (IV),"779,087","19,002"
29,2019,Phoenix Suns,No,No,24,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,,0.514,13.8,20.5,0.202,,0.545,13.5,72.5,0.236,,Talking Stick Resort Arena,"627,023","15,293"
30,2019,Cleveland Cavaliers,No,No,25.2,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,,0.503,12.2,23.7,0.187,,0.564,11.5,77,0.181,,Quicken Loans Arena,"793,337","19,350"
,2019,League Average,,,26.4,,,41,41,0,0,0,110.4,110.4,,100,0.259,0.359,0.56,,0.524,12.4,22.9,0.198,,0.524,12.4,77.1,0.198,,,"732,148","17,853"
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,2020,Milwaukee Bucks,Yes,No,29.2,56,17,57,16,10.08,-0.67,9.41,112.4,102.9,9.5,105.1,0.271,0.428,0.583,,0.552,12.9,20.7,0.201,,0.489,12,81.6,0.178,,Fiserv Forum,"549,036","17,711"
2,2020,Boston Celtics,Yes,No,25.3,48,24,50,22,6.31,-0.47,5.83,113.3,107,6.3,99.5,0.259,0.386,0.57,,0.531,12.2,23.9,0.207,,0.509,13.5,77.4,0.215,,TD Garden,"610,864","19,090"
3,2020,Los Angeles Clippers,Yes,No,27.4,49,23,50,22,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,,0.535,12.6,23.5,0.233,,0.506,12.2,77.6,0.206,,STAPLES Center,"610,176","19,068"
4,2020,Toronto Raptors,Yes,No,26.6,53,19,50,22,6.24,-0.26,5.97,111.1,105,6.1,100.9,0.264,0.421,0.574,,0.536,13.1,21.3,0.21,,0.502,14.6,76.7,0.202,,Scotiabank Arena,"633,456","19,796"
5,2020,Los Angeles Lakers,Yes,Yes,29.5,52,19,48,23,5.79,0.49,6.28,112,106.3,5.7,100.9,0.276,0.358,0.573,,0.542,13.3,24.5,0.201,,0.515,14.1,78.8,0.205,,STAPLES Center,"588,907","18,997"
6,2020,Dallas Mavericks,Yes,No,26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,5,99.3,0.264,0.457,0.581,,0.545,11.2,23.2,0.206,,0.525,10.6,77.7,0.175,,American Airlines Center,"682,096","20,062"
7,2020,Miami Heat,Yes,No,25.9,44,29,43,30,2.95,-0.35,2.59,112.5,109.5,3,98.3,0.299,0.419,0.587,,0.547,13.5,20.3,0.234,,0.523,12.6,79.5,0.213,,AmericanAirlines Arena,"629,771","19,680"
8,2020,Houston Rockets,Yes,No,29.2,44,28,42,30,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,,0.537,12.6,21,0.228,,0.529,13.7,75.6,0.197,,Toyota Center,"578,458","18,077"
9,2020,Utah Jazz,Yes,No,27.3,44,28,42,30,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,,0.549,13.7,21.6,0.208,,0.518,11.1,78.9,0.185,,Vivint Smart Home Arena,"567,486","18,306"
10,2020,Philadelphia 76ers,Yes,No,26.3,43,30,42,31,2.38,-0.13,2.25,111.3,109,2.3,99,0.255,0.36,0.566,,0.534,12.7,23.9,0.193,,0.523,12.5,80.3,0.214,,Wells Fargo Center,"639,491","20,629"
11,2020,Denver Nuggets,Yes,No,25.6,46,27,41,32,2.11,0.24,2.35,113.1,111,2.1,97.1,0.235,0.344,0.567,,0.535,12.3,24.8,0.183,,0.533,12.9,76.8,0.198,,Pepsi Center,"633,153","19,186"
12,2020,Indiana Pacers,Yes,No,25.6,45,28,41,32,1.96,-0.33,1.63,110,108,2,98.9,0.216,0.317,0.565,,0.534,12,20,0.17,,0.511,13,76.7,0.192,,Bankers Life Fieldhouse,"529,002","16,531"
13,2020,Oklahoma City Thunder,Yes,No,25.5,44,28,41,31,1.99,0.34,2.33,110.8,108.8,2,98.8,0.29,0.353,0.573,,0.53,12.4,19.3,0.231,,0.518,12.6,76.8,0.173,,Chesapeake Energy Arena,"600,699","18,203"
14,2020,Phoenix Suns,No,No,24.6,34,39,37,36,0.22,0.35,0.56,111.7,111.4,0.3,101.3,0.271,0.361,0.576,,0.532,13,22.2,0.226,,0.539,13.7,78.8,0.221,,Talking Stick Resort Arena,"550,633","15,606"
15,2020,Brooklyn Nets,Yes,No,26.3,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,0.554,,0.52,13.1,23.2,0.199,,0.511,11,77.8,0.187,,Barclays Center,"524,907","16,403"
16,2020,Orlando Magic,Yes,No,26.1,33,40,34,39,-1.01,0.09,-0.93,108.5,109.5,-1,98.6,0.256,0.364,0.544,,0.506,11.5,22.3,0.198,,0.535,13.2,79.1,0.176,,Amway Center,"529,870","17,093"
17,2020,San Antonio Spurs,No,No,27.6,32,39,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,0.262,0.318,0.572,,0.531,11.2,20.1,0.212,,0.542,11.7,79.2,0.193,,AT&T Center,"550,515","18,351"
18,2020,Memphis Grizzlies,No,No,24.1,34,39,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,0.24,0.346,0.561,,0.528,13.2,23,0.183,,0.521,12.7,77.8,0.217,,FedEx Forum,"523,297","15,857"
19,2020,Portland Trail Blazers,Yes,No,27.5,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,,0.533,11.2,22.4,0.194,,0.53,11.2,75.3,0.208,,Moda Center,"628,303","19,634"
